nom,description,cycle_croissance_jours,rendement_attendu,zone_culture_recommandee,type_sol_prefere,irrigation
Orge de printemps,Riche en vitamines,462,14,Nord,Sablonneux,659.07
Piment vert,Haricot de petite taille riche en fibres.,834,3,Zone sèche,Argileux,471.53
Safran,Céréale d'été riche en fibres.,478,17,Nord,Sablonneux,202.13
Fèves,Fruit,426,13,Est,Argileux,568.34
Soja,Graminée résistante à la sécheresse.,53,5,Est,Argileux,663.5
Grenadier,Légume,742,4,Ouest,Argileux,719.85
Papyrus,Riche en vitamines,46,17,Sud,Sablonneux,478.78
Kiwi,Légume,248,14,Sud,Limoneux,559.91
Laitue,Légumineuse riche en protéines.,911,2,Zone sèche,Argileux,433.76
Artichaut,Légumineuse riche en protéines.,205,18,Sud,Sablonneux,75.42
Ananas,Variété de maïs sucrée et tendre.,262,15,Ouest,Argileux,997.27
Canne à sucre,Culture aquatique à grains essentiels.,24,18,Nord,Sablonneux,866.53
Canneberge,Riche en vitamines,149,14,Ouest,Argileux,670.18
Poirier,Culture aquatique à grains essentiels.,761,5,Ouest,Sablonneux,57.06
Arbre à pain,Légume,979,6,Sud,Limoneux,715.08
Champignon shiitake,Graminée résistante à la sécheresse.,864,6,Ouest,Argileux,360.96
Litchi,,512,17,Zone sèche,Limoneux,297.8
Baobab,Légumineuse riche en protéines.,804,7,Est,Limoneux,182.95
Quinoa,Culture aquatique à grains essentiels.,482,6,Ouest,Argileux,352.6
Rhubarbe,Graminée résistante à la sécheresse.,176,8,Sud,Limoneux,211.77
Quinoa,Fruit,782,8,Ouest,Limoneux,155.5
Camomille,Haricot de petite taille riche en fibres.,488,9,Zone sèche,Argileux,96.19
Blé tendre,Lentille pour les clim,43,19,Nord,Limoneux,783.26
Abricotier,Légume,690,15,Nord,Limoneux,496.54
Nectarine,Graminée résistante à la sécheresse.,56,10,Zone sèche,Sablonneux,81.44
Blé dur,Légumineuse riche en protéines.,288,6,Est,Sablonneux,540.21
Poirier,Haricot de petite taille riche en fibres.,17,9,Nord,Argileux,147.26
Blé tendre,Lentille pour les clim,954,16,Ouest,Argileux,361.38
