nom_technique,description,date_application,impact_rendement,culture_id
Mulchage,Semis de graines directement sans travail préalable du sol.,printemps,6.1,1
Paillage,Utilisation de cultures de couverture pour améliorer la santé du sol.,hiver,20.59,2
Culture en serre,Application de fumier pour enrichir le sol en nutriments.,automne,5.62,3
Mulchage,Suppression des plants trop proches pour favoriser la croissance des autres.,printemps,9.81,4
Paillage,Suppression des plants trop proches pour favoriser la croissance des autres.,été,6.15,5
Éclaircissage,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,été,8.66,6
Fertilisation foliaire,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,printemps,3.31,7
Désherbage manuel,Ajout de compost pour améliorer la matière organique du sol.,été,4.68,8
Traitement des semences,Semis de graines directement sans travail préalable du sol.,printemps,16.98,9
Semis direct,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,automne,14.09,10
Paillage,Application de fumier pour enrichir le sol en nutriments.,hiver,1.41,11
Fertilisation foliaire,Semis de graines directement sans travail préalable du sol.,été,3.84,12
Désherbage manuel,Ajout de biofertilisants pour stimuler la croissance des plantes.,automne,20.76,13
Éclaircissage,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,été,8.22,14
Contrôle biologique des nuisibles,Récolte manuelle pour minimiser les pertes de récolte.,été,8.1,15
Technique D'engrais vert,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,hiver,20.75,16
Désherbage manuel,Culture en serre pour contrôler les conditions de croissance.,automne,20.61,17
Inoculation bactérienne,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,printemps,20.04,18
Application de biopesticides,Rotation avec des légumineuses pour enrichir le sol en azote.,hiver,11.21,19
Inoculation bactérienne,Application de fumier pour enrichir le sol en nutriments.,hiver,4.84,20
Application de biopesticides,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,hiver,18.1,21
Inoculation bactérienne,Traitement des graines par la chaleur pour les protéger des maladies.,automne,5.16,22
Application de biopesticides,Rotation avec des légumineuses pour enrichir le sol en azote.,printemps,8.16,23
Contrôle biologique des nuisibles,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,hiver,1.18,24
Irrigation goutte à goutte,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,automne,10.78,25
Traitement des semences,Ajout de compost pour améliorer la matière organique du sol.,automne,11.11,26
Fertilisation foliaire,Ajout de biofertilisants pour stimuler la croissance des plantes.,automne,15.58,27
Éclaircissage des plants,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,été,14.56,28
Fertilisation au compost,Récolte manuelle pour minimiser les pertes de récolte.,hiver,6.01,29
Fertilisation foliaire,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,hiver,19.85,30
Éclaircissage,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,printemps,1.48,31
Semis direct,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,automne,10.82,32
Technique D'engrais vert,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,hiver,16.3,33
Inoculation bactérienne,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,printemps,7.42,34
Fertilisation foliaire,Irrigation contrôlée pour optimiser l'usage de l'eau.,été,4.26,35
Fertilisation au compost,Irrigation contrôlée pour optimiser l'usage de l'eau.,hiver,11.21,36
Fertilisation foliaire,Traitement des graines par la chaleur pour les protéger des maladies.,hiver,17.52,37
Utilisation de variétés résistantes,Application de fumier pour enrichir le sol en nutriments.,printemps,5.19,38
Désherbage manuel,Ajout de compost pour améliorer la matière organique du sol.,automne,13.75,39
Contrôle biologique des nuisibles,Application de fumier pour enrichir le sol en nutriments.,automne,12.71,40
Semis direct,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,hiver,4.08,41
Culture en serre,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,hiver,12.94,42
Inoculation bactérienne,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,hiver,13.46,43
Semis direct,Élagage des arbres pour améliorer l'exposition au soleil.,printemps,18.54,44
Application de biopesticides,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,automne,9.21,45
Utilisation de cultures couvre-sol,Récolte manuelle pour minimiser les pertes de récolte.,automne,12.17,46
Application de compost,Minimisation du labour pour préserver la structure du sol.,hiver,5.45,47
Utilisation de variétés résistantes,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,printemps,20.14,48
Rotation des cultures,Rotation des cultures pour réduire les parasites et maladies du sol.,printemps,11.28,49
Éclaircissage,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,automne,12.83,50
Mulchage,Application de fumier pour enrichir le sol en nutriments.,hiver,2.14,51
Application de compost,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,automne,19.15,52
Culture en serre,Utilisation de pesticides biologiques pour protéger les cultures.,printemps,6.3,53
